metric,value
total_portfolio_return,0.27713612228723505
total_benchmark_return,0.12269825376197563
total_active_return,0.1375595517386472
model_active_contribution_sum,0.032223694917372044
allocation_effect,-0.027793857753726357
selection_effect,0.060017552671098415
selection_pure_effect,0.08576547579405189
interaction_effect,-0.025747923122953438
model_gap_sum,0.0908629239044318
model_active_return,0.037756014563389506
true_vs_model_active_return_gap,0.0998035371752577
