date,px_ret,tri_ret,cum_px,cum_tri,drift
2025-03-04,-0.008502024291497934,-0.008502024291497934,-0.008502024291497934,-0.008502024291497934,0.0
2025-03-05,-0.008064516129032251,-0.008064516129032251,-0.016497975708501977,-0.016497975708501977,0.0
2025-03-06,-0.013927481046962398,-0.013687695104799058,-0.030195681511471006,-0.029959851551956684,-0.00023582995951432206
2025-03-07,0.014854757349104242,0.014854623975592673,-0.015789473684210464,-0.015550269905532876,-0.00023920377867758802
2025-03-10,-0.013574660633484337,-0.013066891393803015,-0.029149797570850344,-0.028413967611335966,-0.000735829959514378
2025-03-11,0.017132332499304903,0.017132205539240886,-0.01251686909581673,-0.011768556005397834,-0.000748313090418895
2025-03-12,-0.0028357648023505932,-0.002453298228340506,-0.015317139001349789,-0.014192982456140202,-0.001124156545209587
2025-03-13,-0.01363667511820743,-0.013636525422220491,-0.028744939271255432,-0.027635964912280375,-0.0011089743589750567
2025-03-14,0.032895650965680145,0.033419532442983124,0.0032051282051277497,0.004859986504723635,-0.001654858299595885
2025-03-17,0.010122750966873983,0.010122867776544808,0.013360323886639103,0.01503205128205165,-0.0016717273954125478
2025-03-18,0.01085364229591157,0.01085371548799996,0.02435897435897383,0.02604892037786799,-0.0016899460188941617
2025-03-19,0.02466899413740853,0.024668807701147877,0.049628879892037236,0.051360323886640025,-0.0017314439946027882
2025-03-20,-0.0026035807270740063,-0.002603464697108593,0.04689608636977005,0.04862314439946047,-0.0017270580296904203
2025-03-21,-0.010441508217853723,-0.010441363409830817,0.03596491228070109,0.0376740890688263,-0.0017091767881252107
2025-03-24,0.020647430469614925,0.02064723542803404,0.05735492577597756,0.05909919028340105,-0.0017442645074234875
2025-03-25,-0.002297383535417863,-0.002297422567111518,0.054925775978406755,0.0566659919028345,-0.001740215924427746
2025-03-26,0.00508507099910438,0.005085317236054765,0.06029014844804226,0.06203947368421092,-0.001749325236168664
2025-03-27,-0.004486587965761846,-0.00448682210436524,0.05553306342779951,0.05727429149797625,-0.0017412280701767369
2025-03-28,-0.015949626030812514,-0.015177290163481016,0.038697705802968274,0.04122773279352265,-0.0025300269905543793
2025-03-31,0.0023711306720368697,0.0025445539966801878,0.04116059379217196,0.043877192982456625,-0.002716599190284663
2025-04-01,0.00719377835385604,0.007193802819086326,0.048650472334681893,0.05138663967611379,-0.0027361673414318943
2025-04-02,0.010005791133131714,0.01000574397283982,0.05914304993252273,0.06190654520917738,-0.0027634952766546483
2025-04-03,-0.12346701493963619,-0.12346723151869221,-0.07162618083670791,-0.0692041160593787,-0.0024220647773292026
2025-04-04,-0.11273031217065821,-0.11273020672526779,-0.176282051282052,-0.17413292847503326,-0.002149122807018733
2025-04-07,-0.0009830022527135274,-0.0009828953334940493,-0.17709176788124226,-0.1749446693657215,-0.002147098515520751
2025-04-08,-0.042351687097699875,-0.042351880870051706,-0.21194331983805725,-0.20988731443994557,-0.002056005398111682
2025-04-09,0.12590975254730719,0.1259100539990281,-0.11271929824561466,-0.11040418353576198,-0.0023151147098526836
2025-04-10,-0.08677136012776154,-0.08677157817049841,-0.1897098515519574,-0.18759581646423695,-0.002114035087720456
2025-04-11,0.042011908231669226,0.04201180581453401,-0.15566801619433257,-0.15346524966261743,-0.002202766531715139
2025-04-14,-0.001358587069447803,-0.0013582402499034973,-0.1568151147098522,-0.15461504723346764,-0.0022000674763845707
2025-04-15,-0.0022407170294492795,-0.002240871988541393,-0.15870445344129613,-0.15650944669365652,-0.0021950067476396162
2025-04-16,0.009504331087584195,0.009504397013566646,-0.1507085020242921,-0.14849257759784007,-0.0022159244264520206
2025-04-17,0.03503754022166605,0.03552879944592968,-0.12095141700404921,-0.11823954116059321,-0.002711875843456002
2025-04-21,-0.03592400690846287,-0.035924099821774136,-0.15253036437247025,-0.14991599190283345,-0.0026143724696368054
2025-04-22,0.014968748755921801,0.014968751599925278,-0.1398448043184891,-0.13719129554655807,-0.0026535087719310457
2025-04-23,-0.001137477936850373,-0.0011371079216303537,-0.140823211875844,-0.13817240215924365,-0.0026508097166003664
2025-04-24,0.023796434461635263,0.023796055286896545,-0.12037786774628922,-0.11766430499325176,-0.0027135627530374684
2025-04-25,0.0030300705737955624,0.00303031114125929,-0.11771255060728791,-0.114990553306342,-0.002721997300945911
2025-04-28,0.005697678865052902,0.0056976907312074054,-0.11268556005398167,-0.1099480431848846,-0.0027375168690970675
2025-04-29,0.0007604562737641984,0.0007603917040734931,-0.11201079622132315,-0.10927125506072799,-0.0027395411605951603
2025-04-30,-0.034536474164133635,-0.034536308955653516,-0.14267881241565505,-0.14003373819163223,-0.0026450742240228253
2025-05-01,0.024595647554208844,0.02459532197697878,-0.12159244264507474,-0.11888259109311661,-0.002709851551958131
2025-05-02,0.024427715470886513,0.02442802048680659,-0.10013495276653217,-0.09735863697705727,-0.0027763157894749035
2025-05-05,-0.023807738452309657,-0.023798426345830848,-0.12155870445344186,-0.1188400809716591,-0.002718623481782756
2025-05-06,0.007028459499942352,0.007719321621681541,-0.11538461538461597,-0.11203812415654446,-0.003346491228071513
2025-05-07,0.0006864988558352714,0.0006865712812591518,-0.11477732793522322,-0.11142847503373732,-0.003348852901485899
2025-05-08,0.025116243616129408,0.0251161282532808,-0.09254385964912326,-0.08911099865047134,-0.003432860998651921
2025-05-09,0.01167416440495228,0.011740913931200359,-0.08195006747638367,-0.07841632928474951,-0.0035337381916341615
2025-05-12,0.03752159053324022,0.038090858969956676,-0.0475033738191637,-0.04331241565451993,-0.0041909581646437655
2025-05-13,0.02405072258430163,0.024050455244034596,-0.02459514170040511,-0.020303643724695397,-0.004291497975709713
2025-05-14,-0.006468126318702194,-0.006468031765054283,-0.03090418353576274,-0.026640350877191965,-0.004263832658570776
2025-05-15,-0.011767163347723097,-0.010790152504057127,-0.04230769230769249,-0.0371430499325226,-0.005164642375169892
2025-05-16,-0.00028182907066875984,-0.00028171896220896553,-0.04257759784075599,-0.03741430499325127,-0.005163292847504719
2025-05-19,-0.015469730072591448,-0.01505167705067878,-0.05738866396761155,-0.05190283400809603,-0.00548582995951552
2025-05-20,-0.007301621389455448,-0.007301719475047874,-0.06427125506072884,-0.05882557354925677,-0.005445681511472067
2025-05-21,-0.0273661438615469,-0.027366245334076944,-0.08987854251012162,-0.08458198380566695,-0.005296558704454668
2025-05-22,-0.0016681494661920926,-0.001668080075214795,-0.09139676113360329,-0.08610897435897336,-0.005287786774629932
2025-05-23,0.005384129813226446,0.00538435668105075,-0.08650472334682857,-0.08118825910931082,-0.0053164642375177484
2025-05-27,0.021347318658590853,0.02134717506842665,-0.06700404858299569,-0.061574224021591406,-0.005429824561404284
2025-05-28,-0.014789903811383676,-0.014789893488894923,-0.08080296896086359,-0.07545344129554565,-0.0053495276653179324
2025-05-29,0.0037071022205910076,0.003707182570439782,-0.07739541160593777,-0.07202597840755642,-0.005369433198381346
2025-05-30,-0.014846778322240906,-0.014200613339683588,-0.09109311740890669,-0.08520377867746187,-0.005889338731444815
2025-06-02,0.011321455085374854,0.012059941227148707,-0.08080296896086359,-0.07417139001349438,-0.00663157894736921
2025-06-03,0.03409799963296023,0.03409791571616205,-0.04946018893387294,-0.04260256410256302,-0.006857624831309916
2025-06-04,-0.015155817420316575,-0.015155797282753958,-0.06386639676113337,-0.057112685560053,-0.00675371120108037
2025-06-05,-0.0030633942408189174,-0.0030636364742345767,-0.06673414304993242,-0.06000134952766434,-0.006732793522268077
2025-06-06,0.022558021835008324,0.022811357296576462,-0.04568151147098498,-0.03855870445344023,-0.007122807017544752
2025-06-09,0.012302906031252059,0.01230299763625231,-0.03394062078272597,-0.026730094466935528,-0.007210526315790444
2025-06-10,0.016623594328420976,0.01662349745491154,-0.01788124156545179,-0.010550944669364681,-0.007330296896087107
2025-06-11,0.019512195121951015,0.019512215081731066,0.0012820512820514995,0.008755398110662282,-0.007473346828610783
2025-06-12,0.0009434598018736029,0.001384303622367078,0.002226720647773739,0.010151821862349308,-0.00792510121457557
2025-06-13,0.021174173567629406,0.021174046204355923,0.023448043184885803,0.03154082321187701,-0.008092780026991209
2025-06-16,-0.004845887588594167,-0.004845809646941923,0.0184885290148451,0.026542172739542513,-0.008053643724697412
2025-06-17,0.013614681330329947,0.01382272352153735,0.03235492577597876,0.04073178137651934,-0.008376855600540578
2025-06-18,-0.003790973561227595,-0.003790932688090276,0.028441295546558942,0.03678643724696462,-0.008345141700405678
2025-06-20,-0.010333628579864085,-0.010333757994946291,0.01781376518218658,0.02607253711201185,-0.00825877192982527
2025-06-23,-0.03500397772474151,-0.03500402297849037,-0.017813765182185914,-0.009844129554654968,-0.007969635627530947
2025-06-24,-0.00917147568013199,-0.009171254679159357,-0.02682186234817796,-0.018925101214573914,-0.007896761133604047
2025-06-25,-0.015288611544461705,-0.015288664764266713,-0.0417004048582994,-0.03392442645074123,-0.007775978407558171
2025-06-26,0.01784959864807778,0.017849459812086632,-0.024595141700404666,-0.016680499325235187,-0.007914642375169478
2025-06-27,-0.00501539206530377,-0.0041824509299691615,-0.02948717948717916,-0.02079318488528914,-0.00869399460189002
2025-06-30,-0.008169366613363094,-0.008169188686896756,-0.03741565452091744,-0.02879251012145645,-0.008623144399460991
2025-07-01,0.012127159931302645,0.012127174493401283,-0.025742240215924306,-0.01701450742240107,-0.008727732793523235
2025-07-02,0.03033556117325209,0.030335646761755042,0.003812415654521173,0.01280499325236284,-0.008992577597841667
2025-07-03,-0.001747722918697181,-0.001747861559504238,0.0020580296896088868,0.011034750337383104,-0.008976720647774217
2025-07-07,-0.01882091512070294,-0.01882099250944458,-0.016801619433198023,-0.007993927125504952,-0.008807692307693071
2025-07-08,0.036099100953949526,0.03609930394999705,0.018690958164642613,0.02781680161943445,-0.009125843454791838
2025-07-09,-0.009074650592833078,-0.009074827774894767,0.009446693657220173,0.01848954116059498,-0.009042847503374807
2025-07-10,0.015407754010695163,0.015407762613194764,0.025000000000000133,0.034182186234819056,-0.009182186234818923
2025-07-11,0.005365195352358354,0.005365189102852552,0.030499325236167385,0.039730769230770235,-0.00923144399460285
2025-07-14,-0.017941330539549605,-0.01794135952094933,0.012010796221322506,0.0210765856950077,-0.009065789473685193
2025-07-15,-0.031204160554740512,-0.031203999641827074,-0.019568151147098423,-0.010785087719297315,-0.008783063427801108
2025-07-16,-0.015347556779077842,-0.015347712662169943,-0.0346153846153846,-0.025967273954115133,-0.00864811066126947
2025-07-17,0.02299573635283436,0.022995926960308388,-0.01241565452091753,-0.0035684885290139245,-0.008847165991903605
2025-07-18,-0.0014689805957912583,-0.0010431963183059612,-0.013866396761133548,-0.004607962213224459,-0.009258434547909089
2025-07-21,-0.013856101816688948,-0.013856020759627219,-0.027530364372469585,-0.018400134952765712,-0.009130229419703872
2025-07-22,0.02216902581182345,0.022169047060934366,-0.0059716599190283715,0.0033609986504732348,-0.009332658569501606
2025-07-23,0.029867969996266508,0.029867900127842795,0.023717948717948634,0.03332928475033814,-0.009611336032389506
2025-07-24,0.004482088125762118,0.004482190736022185,0.028306342780026972,0.03796086369770646,-0.009654520917679488
2025-07-25,-0.012434791167689307,-0.012434845130010586,0.015519568151147078,0.0250539811066135,-0.00953441295546642
2025-07-28,0.01644518272425244,0.016445268015245373,0.03221997300944657,0.04191126855600613,-0.009691295546559564
2025-07-29,0.0037260990357901314,0.0037260886107717273,0.0360661268556004,0.045793522267207454,-0.009727395411607054
