date,daily_return,external_flow,benchmark_return,w_p_sum,w_b_sum,alloc_effect,select_pure_effect,interaction_effect,select_effect,r_p_model,r_b_model,active_return_model,active_model,recon_error,active_return,model_gap,recon_gap_to_model,cum_portfolio,cum_benchmark,cum_active,cum_model_portfolio,cum_model_benchmark,cum_active_model,cum_alloc,cum_select,cum_model_gap,cum_recon_error
2025-03-03,,0.0,-0.023724968799128,0.0,0.9999999999999994,0.023965539838569347,0.023965539838569347,-0.023965539838569347,0.0,0.0,-0.023965539838569347,0.023965539838569347,0.023965539838569347,0.0,,,,0.0,-0.023724968799128,0.024301521641852286,0.0,-0.023965539838569305,0.024553989450951885,0.023965539838569347,0.0,0.0,0.0
2025-03-04,-0.015605087075131363,0.0,-0.0150823396087566,0.9829488781166301,0.9999999927554222,2.572793577604706e-05,0.0012517746234671947,-0.002105710035810917,-0.0008539354123437219,-0.015605087075131426,-0.01477687959856375,-0.0008282074765676752,-0.0008282074765676748,-3.2526065174565133e-19,-0.0005227474663747622,0.0003054600101929126,0.00030546001019291294,-0.015605087075131419,-0.038449480371248956,0.023757871094425287,-0.015605087075131419,-0.038388283540424006,0.023692719291290354,0.023991267774345394,-0.0008539354123437219,0.0003054600101929126,-3.2526065174565133e-19
2025-03-05,0.007951068907619744,0.0,0.0103033033936659,1.0,0.9999999999999996,-0.0005620284670540034,-0.0027203648340767416,0.0011313198873085294,-0.0015890449467682126,0.00795106890761971,0.010102142321441927,-0.002151073413822216,-0.002151073413822216,0.0,-0.0023522344860461564,-0.00020116107222394042,-0.00020116107222394042,-0.007778095290155496,-0.028542333639176798,0.021374311066797436,-0.007778095290155496,-0.028673945122783207,0.021512703924398524,0.02342923930729139,-0.0024429803591119346,0.0001042989379689722,-3.2526065174565133e-19
2025-03-06,-0.0123388778248122,0.0,-0.0124960357273895,1.0,0.9999999927335503,0.0005251157501059495,-0.0016581629081208861,0.0012649201417151814,-0.00039324276640570477,-0.01233887782481209,-0.012470750808512334,0.00013187298370024442,0.00013187298370024474,-3.2526065174565133e-19,0.00015715790257730088,2.5284918877056133e-05,2.528491887705646e-05,-0.020021000147472767,-0.04068170334566812,0.021536859320051116,-0.020021000147472656,-0.04078711030697235,0.021649115001097785,0.02395435505739734,-0.0028362231255176394,0.00012958385684602833,-6.505213034913027e-19
2025-03-07,0.0059483616801565675,0.0,0.0056972556215673,1.0,0.999999992768298,-0.0004823264286094429,0.001046969051302838,-0.00016673901645917013,0.000880230034843668,0.00622307726100735,0.005825173654773124,0.0003979036062342258,0.00039790360623422505,7.589415207398531e-19,0.0002511060585892672,-0.00014679754764495786,-0.00014679754764495862,-0.014191730617391873,-0.03521622178718187,0.021791920267084208,-0.013922515117225531,-0.035199528652613665,0.022053278545432153,0.0234720286287879,-0.0019559930906739714,-1.7213690798929533e-05,1.0842021724855044e-19
2025-03-10,-0.023086730607575504,0.0,-0.0243621354185055,1.0,0.9999999925864225,0.0007960403690819272,0.0001104928077485033,0.00034605315734459235,0.0004565459650930952,-0.02308673060757558,-0.0243393169417506,0.001252586334175021,0.0012525863341750223,-1.3010426069826053e-18,0.0012754048109299976,2.2818476754975312e-05,2.2818476754976613e-05,-0.03695082056334831,-0.05872041484157997,0.023127660071972977,-0.03668782036890983,-0.05868211311028804,0.023365425269938678,0.024268068997869825,-0.001499447125580876,5.604785956045779e-06,-1.1926223897340549e-18
2025-03-11,0.0006131558283994888,0.0,-0.0044024930625694,1.0,0.9999999999999996,9.803904751239215e-05,0.0056175909352863046,-0.0010733311105280618,0.004544259824758243,0.00039544287232362525,-0.004246855999947009,0.004642298872270634,0.004642298872270635,-8.673617379884035e-19,0.005015648890968888,0.0003733500186982536,0.0003733500186982545,-0.03636032134594136,-0.0628643916851781,0.02828200113631052,-0.036306885433652125,-0.062679754626083,0.028136455307129493,0.024366108045382216,0.0030448126991773667,0.0003789548046542994,-2.0599841277224584e-18
2025-03-12,-0.004532300150887687,0.0,-0.0047000675178914,1.0,1.0000000074826685,-0.0002421778146320651,0.002844678283205579,-0.0014221279323415467,0.0014225503508640323,-0.0036790189259222855,-0.004859391462154254,0.0011803725362319688,0.0011803725362319673,1.5178830414797062e-18,0.0001677673670037131,-0.0010126051692282542,-0.0010126051692282557,-0.040727825606906465,-0.06726899231767802,0.028455327947895626,-0.03985233064092264,-0.06723456062375743,0.02935596541950125,0.02412393023075015,0.004467363050041399,-0.0006336503645739548,-5.421010862427522e-19
2025-03-13,-0.012535581943675343,0.0,-0.0173359045008388,1.0,0.9999999847723355,0.0001351437466241809,0.0045221677861980464,0.00019942020659700094,0.004721587992795048,-0.012535581943675407,-0.017392313683094636,0.0048567317394192285,0.0048567317394192285,0.0,0.004800322557163457,-5.640918225577156e-05,-5.640918225577156e-05,-0.05275286055529871,-0.08343872799182983,0.033479341069363455,-0.05188834042820234,-0.0834575097381387,0.03444375972238545,0.02425907397737433,0.009188951042836447,-0.0006900595468297264,-5.421010862427522e-19
2025-03-14,0.019298167540410163,0.0,0.0251197816502311,1.0,1.000000007430523,-0.0006371646380991606,-0.004816348306250799,-4.6519646692731476e-05,-0.00486286795294353,0.01929816754041014,0.02479820013145283,-0.005500032591042692,-0.005500032591042691,-1.734723475976807e-18,-0.005821614109820936,-0.00032158151877824566,-0.0003215815187782439,-0.03447272655612055,-0.06041490896992652,0.027610253357006176,-0.03359152277476962,-0.060728905635644925,0.02889195997162064,0.02362190933927517,0.0043260830898929166,-0.001011641065607972,-2.2768245622195593e-18
2025-03-17,0.0016390458347069355,0.0,0.0110537186700083,1.0,0.9999999926598635,-0.00022380462855415095,-0.010511943662837102,0.001257629339747585,-0.009254314323089518,0.0016390458347070626,0.011117164786350732,-0.009478118951643669,-0.009478118951643669,0.0,-0.009414672835301363,6.344611634230557e-05,6.344611634230557e-05,-0.03289018310028646,-0.050028999707145916,0.018041410318395013,-0.03200753498554798,-0.050286874100540335,0.019247221730962494,0.02339810471072102,-0.004928231233196602,-0.0009481949492656664,-2.2768245622195593e-18
2025-03-18,-0.002525467201125879,0.0,-0.007480680857928,1.0,1.0000000073930888,-8.860308028715338e-05,0.005445336008405731,-0.00034518397589471936,0.005100152032511011,-0.002525467201125971,-0.007537016153349829,0.005011548952223858,0.005011548952223858,0.0,0.004955213656802121,-5.633529542173679e-05,-5.633529542173679e-05,-0.035332587222753564,-0.057135429584623365,0.02312404458284467,-0.03445216820687913,-0.057444877271492834,0.024394020583172304,0.023309501630433865,0.00017192079931440968,-0.0010045302446874032,-2.2768245622195593e-18
2025-03-19,0.008033726052042755,0.0,0.0137565232429166,1.0,0.9999999927084456,-1.850003553731579e-05,-0.005607810507258758,-0.0002547862842373194,-0.0058625967914960764,0.008033726052042776,0.01391482287907617,-0.005881096827033394,-0.005881096827033392,-1.734723475976807e-18,-0.0057227971908738445,0.00015829963615954755,0.00015829963615954928,-0.027582713497168454,-0.044164891206781576,0.017348366425406603,-0.026695221436109473,-0.0443293896849597,0.018452140369825898,0.023291001594896547,-0.005690675992181667,-0.0008462306085278556,-4.0115480381963664e-18
2025-03-20,-0.003119843461796106,0.0,-0.0049469193985193,1.0,0.9999999999999993,0.00015956872356953514,0.0017126946834709084,2.9716185327790777e-05,0.001742410868798699,-0.003119843461796104,-0.005021823054164339,0.0019019795923682346,0.0019019795923682341,4.336808689942018e-19,0.0018270759367231943,-7.490365564503986e-05,-7.490365564504029e-05,-0.03061650321060183,-0.04889333044825661,0.01921638005784221,-0.029731779985846862,-0.04912859838802708,0.020398992302531838,0.023450570318466084,-0.003948265123382968,-0.0009211342641728955,-3.577867169202165e-18
2025-03-21,-0.005332684173444025,0.0,-0.0059560809116987,1.0,1.0000000073736826,0.00027568963150092693,0.0005568880711404718,-0.00023144899419362918,0.00032543907694684263,-0.005332684173444034,-0.005933812881891804,0.0006011287084477695,0.0006011287084477696,-1.0842021724855044e-19,0.0006233967382546753,2.2268029806905734e-05,2.2268029806905842e-05,-0.03578591924192842,-0.05455819872776313,0.019855563251565345,-0.034905913966712054,-0.054770891359934626,0.021016044905560527,0.02372625994996701,-0.0036228260464361258,-0.0008988662343659897,-3.686287386450715e-18
2025-03-24,0.02240464519713977,0.0,0.0256945801907655,1.0,1.0000000070784596,-0.0004627151537923866,-0.0021047243387742115,-0.0006459183417862127,-0.0027506426805604246,0.022404645197139837,0.02561800303149265,-0.0032133578343528126,-0.0032133578343528113,-1.3010426069826053e-18,-0.003289934993625728,-7.657715927291689e-05,-7.657715927291558e-05,-0.014183044868457562,-0.030265468549271812,0.01658435701650718,-0.013283323387278334,-0.030556009189338207,0.01781710543959969,0.023263544796174623,-0.00637346872699655,-0.0009754433936389066,-4.9873299934333204e-18
2025-03-25,-0.0073278544380305476,0.0,-0.006353049344338,1.0,0.9999999999999997,-5.4833742010823846e-05,-0.0014695607330582833,0.0005778256980223858,-0.0008917350350358976,-0.007327854438030567,-0.006381285660983845,-0.0009465687770467213,-0.0009465687770467215,2.168404344971009e-19,-0.0009748050936925472,-2.8236316645825722e-05,-2.823631664582594e-05,-0.021406968018203965,-0.03642623987848681,0.015587049463020586,-0.020513839565073577,-0.03674230822702518,0.016847484116198963,0.0232087110541638,-0.007265203762032447,-0.0010036797102847324,-4.7704895589362195e-18
2025-03-26,-0.001856225274847074,0.0,-0.0052954196319211,1.0,0.9999999999999996,-6.326388142744046e-05,0.0023942134357776315,0.00045194746836504994,0.0028461609041426812,-0.002393135510963635,-0.005176032533678876,0.002782897022715241,0.0027828970227152406,4.336808689942018e-19,0.0034391943570740257,0.0006562973343587851,0.0006562973343587847,-0.023223457137957815,-0.04152876728463839,0.01909844502564928,-0.022857882678107844,-0.04172816137795854,0.01969198920317372,0.02314544717273636,-0.004419042857889766,-0.0003473823759259473,-4.336808689942018e-18
2025-03-27,-0.006113755302555397,0.0,-0.0043202413893798,1.0,0.9999999999999996,0.000149578695100687,-0.001975822254779344,2.8515383375747236e-05,-0.0019473068714035966,-0.006113755302555454,-0.004316027126252544,-0.00179772817630291,-0.0017977281763029095,-4.336808689942018e-19,-0.0017935139131755968,4.2142631273126875e-06,4.214263127313121e-06,-0.02919522990629242,-0.04566959437474516,0.017262747127562372,-0.028831890479234845,-0.045864088627775135,0.017850914052742084,0.023295025867837046,-0.006366349729293362,-0.0003431681127986346,-4.7704895589362195e-18
2025-03-28,-0.014983887593067088,0.0,-0.0213044792114327,1.0,1.0000000073463093,0.0002935864148748252,0.005236865830706718,0.0002759801446003984,0.005512845975307117,-0.015417155006147185,-0.021223587396329128,0.005806432390181943,0.005806432390181943,0.0,0.006320591618365611,0.0005141592281836683,0.0005141592281836683,-0.04374165945618991,-0.06600110666222658,0.023832412827053284,-0.04380453976074339,-0.06611427553075966,0.023889149588077974,0.02358861228271187,-0.0008535037539862452,0.00017099111538503367,-4.7704895589362195e-18
2025-03-31,-0.007846294485778943,0.0,0.0048685481032439,0.9999999999999999,1.0000000146297776,0.0005204434782183191,-0.015809350405600397,0.0030476439377281296,-0.012761706467872266,-0.007846294485778893,0.004394968503875054,-0.012241262989653947,-0.012241262989653947,0.0,-0.012714842589022843,-0.00047357959936889654,-0.00047357959936889654,-0.05124474400057888,-0.06145388812163499,0.010877615912364691,-0.051307130927745526,-0.062009877185498774,0.011410297398056768,0.024109055760930188,-0.013615210221858512,-0.00030258848398386287,-4.7704895589362195e-18
2025-04-01,0.0050306339465635095,0.0,0.0023307756509804,1.0,0.9999999999999996,-0.0004950708800991039,0.0036004221045062503,-0.000645123701819645,0.002955298402686605,0.004745481670257834,0.002285254147670332,0.0024602275225875016,0.0024602275225875008,8.673617379884035e-19,0.0026998582955831095,0.00023963077299560872,0.00023963077299560785,-0.04647190360276754,-0.059266347696746435,0.013600495807345236,-0.046805126306858735,-0.059866331366863146,0.013892923416937153,0.023613984880831083,-0.010659911819171907,-6.295771098825415e-05,-3.903127820947816e-18
