symbol,candidate_security,name,gics_sector_name,industry_sector,id_bb_global,candidate_returned
CHRD,CHRD US Equity,CHORD ENERGY CORP,Energy,Energy,BBG00Y7BLHL9,True
CHRD,__chosen__,CHRD US Equity,Energy,GICS_SECTOR_NAME,,True
CMC,CMC US Equity,COMMERCIAL METALS CO,Materials,Basic Materials,BBG000BFSND8,True
CMC,__chosen__,CMC US Equity,Materials,GICS_SECTOR_NAME,,True
CNMD,CNMD US Equity,CONMED CORP,Health Care,"Consumer, Non-cyclical",BBG000BFZVH8,True
CNMD,__chosen__,CNMD US Equity,Health Care,GICS_SECTOR_NAME,,True
COLL,COLL US Equity,COLLEGIUM PHARMACEUTICAL INC,Health Care,"Consumer, Non-cyclical",BBG000N7LPW4,True
COLL,__chosen__,COLL US Equity,Health Care,GICS_SECTOR_NAME,,True
CRGY,CRGY US Equity,CRESCENT ENERGY INC-A,Energy,Energy,BBG013THLHZ4,True
CRGY,__chosen__,CRGY US Equity,Energy,GICS_SECTOR_NAME,,True
CRVL,CRVL US Equity,CORVEL CORP,Health Care,"Consumer, Non-cyclical",BBG000CVKZY0,True
CRVL,__chosen__,CRVL US Equity,Health Care,GICS_SECTOR_NAME,,True
CSV,CSV US Equity,CARRIAGE SERVICES INC,Consumer Discretionary,"Consumer, Non-cyclical",BBG000J06DW8,True
CSV,__chosen__,CSV US Equity,Consumer Discretionary,GICS_SECTOR_NAME,,True
CSW,CSW US Equity,CSW INDUSTRIALS INC,Industrials,Industrial,BBG007NLG4L3,True
CSW,__chosen__,CSW US Equity,Industrials,GICS_SECTOR_NAME,,True
CTBI,CTBI US Equity,COMMUNITY TRUST BANCORP INC,Financials,Financial,BBG000F4J227,True
CTBI,__chosen__,CTBI US Equity,Financials,GICS_SECTOR_NAME,,True
CTLT,CTLT US Equity,CATALENT INC,Health Care,"Consumer, Non-cyclical",BBG005XR47P5,True
CTLT,__chosen__,CTLT US Equity,Health Care,GICS_SECTOR_NAME,,True
CTRE,CTRE US Equity,CARETRUST REIT INC,Real Estate,Financial,BBG005KC4Z70,True
CTRE,__chosen__,CTRE US Equity,Real Estate,GICS_SECTOR_NAME,,True
CVCO,CVCO US Equity,CAVCO INDUSTRIES INC,Consumer Discretionary,"Consumer, Cyclical",BBG000K4WS65,True
CVCO,__chosen__,CVCO US Equity,Consumer Discretionary,GICS_SECTOR_NAME,,True
CVSA,CVSA US Equity,COVISTA INC,Consumer Discretionary,"Consumer, Non-cyclical",BBG000DQBZJ7,True
CVSA,__chosen__,CVSA US Equity,Consumer Discretionary,GICS_SECTOR_NAME,,True
DCO,DCO US Equity,DUCOMMUN INC,Industrials,Industrial,BBG000BH02M0,True
DCO,__chosen__,DCO US Equity,Industrials,GICS_SECTOR_NAME,,True
DGII,DGII US Equity,DIGI INTERNATIONAL INC,Information Technology,Technology,BBG000BZ50L0,True
DGII,__chosen__,DGII US Equity,Information Technology,GICS_SECTOR_NAME,,True
DHIL,DHIL US Equity,DIAMOND HILL INVESTMENT GRP,Financials,Financial,BBG000K7DJG8,True
DHIL,__chosen__,DHIL US Equity,Financials,GICS_SECTOR_NAME,,True
DORM,DORM US Equity,DORMAN PRODUCTS INC,Consumer Discretionary,"Consumer, Cyclical",BBG000BM22F5,True
DORM,__chosen__,DORM US Equity,Consumer Discretionary,GICS_SECTOR_NAME,,True
DV,DV US Equity,DOUBLEVERIFY HOLDINGS INC,Communication Services,Technology,BBG00ZNRRJM2,True
DV,__chosen__,DV US Equity,Communication Services,GICS_SECTOR_NAME,,True
DY,DY US Equity,DYCOM INDUSTRIES INC,Industrials,Industrial,BBG000C4SKT1,True
DY,__chosen__,DY US Equity,Industrials,GICS_SECTOR_NAME,,True
EBS,EBS US Equity,EMERGENT BIOSOLUTIONS INC,Health Care,"Consumer, Non-cyclical",BBG000GW06J7,True
EBS,__chosen__,EBS US Equity,Health Care,GICS_SECTOR_NAME,,True
ECPG,ECPG US Equity,ENCORE CAPITAL GROUP INC,Financials,Financial,BBG000F369C7,True
ECPG,__chosen__,ECPG US Equity,Financials,GICS_SECTOR_NAME,,True
ELF,ELF US Equity,ELF BEAUTY INC,Consumer Staples,"Consumer, Non-cyclical",BBG00DQ6VYP3,True
ELF,__chosen__,ELF US Equity,Consumer Staples,GICS_SECTOR_NAME,,True
ENSG,ENSG US Equity,ENSIGN GROUP INC/THE,Health Care,"Consumer, Non-cyclical",BBG000K1T9L0,True
ENSG,__chosen__,ENSG US Equity,Health Care,GICS_SECTOR_NAME,,True
ENVA,ENVA US Equity,ENOVA INTERNATIONAL INC,Financials,Financial,BBG0022PSJ14,True
